ticker,year,mda_len,notes_len,esg_len,mda_path,notes_path,esg_path,status,pdf_url
MSN,2021,196387,0,15656,data/text/extracted_text/MSN_2021_MDA.txt,data/text/extracted_text/MSN_2021_NOTES.txt,data/text/extracted_text/MSN_2021_ESG.txt,cached,
MWG,2021,0,0,0,data/text/extracted_text/MWG_2021_MDA.txt,data/text/extracted_text/MWG_2021_NOTES.txt,data/text/extracted_text/MWG_2021_ESG.txt,extracted,local_cache
NKG,2021,0,0,0,data/text/extracted_text/NKG_2021_MDA.txt,data/text/extracted_text/NKG_2021_NOTES.txt,data/text/extracted_text/NKG_2021_ESG.txt,extracted,local_cache
NVL,2021,138057,278593,9061,data/text/extracted_text/NVL_2021_MDA.txt,data/text/extracted_text/NVL_2021_NOTES.txt,data/text/extracted_text/NVL_2021_ESG.txt,cached,
PDR,2021,0,0,0,data/text/extracted_text/PDR_2021_MDA.txt,data/text/extracted_text/PDR_2021_NOTES.txt,data/text/extracted_text/PDR_2021_ESG.txt,extracted,local_cache
PLX,2021,0,0,0,data/text/extracted_text/PLX_2021_MDA.txt,data/text/extracted_text/PLX_2021_NOTES.txt,data/text/extracted_text/PLX_2021_ESG.txt,extracted,local_cache
PNJ,2021,146213,86589,29468,data/text/extracted_text/PNJ_2021_MDA.txt,data/text/extracted_text/PNJ_2021_NOTES.txt,data/text/extracted_text/PNJ_2021_ESG.txt,cached,
PVD,2021,177599,176072,64970,data/text/extracted_text/PVD_2021_MDA.txt,data/text/extracted_text/PVD_2021_NOTES.txt,data/text/extracted_text/PVD_2021_ESG.txt,cached,
SAB,2021,0,0,0,data/text/extracted_text/SAB_2021_MDA.txt,data/text/extracted_text/SAB_2021_NOTES.txt,data/text/extracted_text/SAB_2021_ESG.txt,extracted,local_cache
SSI,2021,137003,54090,7910,data/text/extracted_text/SSI_2021_MDA.txt,data/text/extracted_text/SSI_2021_NOTES.txt,data/text/extracted_text/SSI_2021_ESG.txt,cached,
STB,2021,0,0,0,data/text/extracted_text/STB_2021_MDA.txt,data/text/extracted_text/STB_2021_NOTES.txt,data/text/extracted_text/STB_2021_ESG.txt,extracted,local_cache
TCB,2021,137518,213108,19701,data/text/extracted_text/TCB_2021_MDA.txt,data/text/extracted_text/TCB_2021_NOTES.txt,data/text/extracted_text/TCB_2021_ESG.txt,cached,
VCB,2021,97711,198209,11704,data/text/extracted_text/VCB_2021_MDA.txt,data/text/extracted_text/VCB_2021_NOTES.txt,data/text/extracted_text/VCB_2021_ESG.txt,cached,
VCI,2021,95621,171930,23506,data/text/extracted_text/VCI_2021_MDA.txt,data/text/extracted_text/VCI_2021_NOTES.txt,data/text/extracted_text/VCI_2021_ESG.txt,cached,
VHM,2021,0,0,0,data/text/extracted_text/VHM_2021_MDA.txt,data/text/extracted_text/VHM_2021_NOTES.txt,data/text/extracted_text/VHM_2021_ESG.txt,extracted,local_cache
VIB,2021,0,0,0,data/text/extracted_text/VIB_2021_MDA.txt,data/text/extracted_text/VIB_2021_NOTES.txt,data/text/extracted_text/VIB_2021_ESG.txt,extracted,local_cache
VIC,2021,121292,242155,27976,data/text/extracted_text/VIC_2021_MDA.txt,data/text/extracted_text/VIC_2021_NOTES.txt,data/text/extracted_text/VIC_2021_ESG.txt,cached,
VJC,2021,89293,1212,0,data/text/extracted_text/VJC_2021_MDA.txt,data/text/extracted_text/VJC_2021_NOTES.txt,data/text/extracted_text/VJC_2021_ESG.txt,cached,
